3-acetyloxy-4-(trimethylazaniumyl)butanoate	CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
(2-acetyloxy-3-carboxypropyl)-trimethylazanium	CC(=O)OC(CC(=O)O)C[N+](C)(C)C
5,6-dihydroxycyclohexa-1,3-diene-1-carboxylic acid	C1=CC(C(C(=C1)C(=O)O)O)O
1-aminopropan-2-ol	CC(CN)O
(3-amino-2-oxopropyl) dihydrogen phosphate	C(C(=O)COP(=O)(O)O)N
1-chloro-2,4-dinitrobenzene	C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl
9-ethylpurin-6-amine	CCN1C=NC2=C(N=CN=C21)N
2,3-dihydroxy-3-methylpentanoic acid	CCC(C)(C(C(=O)O)O)O
(2,3,4,5,6-pentahydroxycyclohexyl) dihydrogen phosphate	C1(C(C(C(C(C1O)O)OP(=O)(O)O)O)O)O
2-[[4-[(2-amino-4-oxo-5,6,7,8-tetrahydro-1H-pteridin-6-yl)methyl-formylamino]benzoyl]amino]pentanedioic acid	C1C(NC2=C(N1)NC(=NC2=O)N)CN(C=O)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
1,2-dichloroethane	C(CCl)Cl
benzene-1,2,3,5-tetrol	C1=C(C=C(C(=C1O)O)O)O
1,2,4-trichlorobenzene	C1=CC(=C(C=C1Cl)Cl)Cl
7-[3-hydroxy-5-oxo-2-(3-oxooct-1-enyl)cyclopentyl]heptanoic acid	CCCCCC(=O)C=CC1C(CC(=O)C1CCCCCCC(=O)O)O
17-hydroxy-10,13-dimethyl-1,2,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-3-one	CC12CCC(=O)CC1CCC3C2CCC4(C3CCC4O)C
1,8-diazacyclotetradecane-2,9-dione	C1CCC(=O)NCCCCCC(=O)NCC1
2,3-dihydropyridine-2,6-dicarboxylic acid	C1C=CC(=NC1C(=O)O)C(=O)O
4,5,6-trihydroxy-2,3-dioxohexanoic acid	C(C(C(C(=O)C(=O)C(=O)O)O)O)O
2,3-dihydroxybenzoic acid	C1=CC(=C(C(=C1)O)O)C(=O)O
3-(2,3-dihydroxyphenyl)propanoic acid	C1=CC(=C(C(=C1)O)O)CCC(=O)O
2-ethyl-2-hydroxy-3-oxobutanoic acid	CCC(C(=O)C)(C(=O)O)O
2-hydroxy-2-methyl-3-oxobutanoic acid	CC(=O)C(C)(C(=O)O)O
2-amino-3-(3-oxoprop-1-enyl)but-2-enedioic acid	C(=CC(=C(C(=O)O)N)C(=O)O)C=O
2-amino-5,6,7,8-tetrahydroxy-6-(1,2,3-trihydroxypropyl)-3,4a,7,8a-tetrahydropteridin-4-one	C(C(C(C1(C(N(C2C(N1O)C(=O)NC(=N2)N)O)O)O)O)O)O
2-amino-7,8-dihydroxy-6-(1,2,3-trihydroxypropyl)-1,5,6,7-tetrahydropteridin-4-one	C(C(C(C1C(N(C2=C(N1)C(=O)N=C(N2)N)O)O)O)O)O
1-(2-amino-7,8-dihydroxy-4-oxo-3,4a,7,8a-tetrahydropteridin-6-yl)propane-1,2-dione	CC(=O)C(=O)C1=NC2C(N=C(NC2=O)N)N(C1O)O
[[3-(2-amino-7,8-dihydroxy-4-oxo-1,7-dihydropteridin-6-yl)-2,3-dihydroxypropoxy]-hydroxyphosphoryl] phosphono hydrogen phosphate	C(C(C(C1=NC2=C(NC(=NC2=O)N)N(C1O)O)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O
2-aminohexa-2,4-dienedioic acid	C(=CC(=O)O)C=C(C(=O)O)N
2-amino-3-oxopropanoic acid	C(=O)C(C(=O)O)N
2-amino-6-oxohexa-2,4-dienoic acid	C(=CC=O)C=C(C(=O)O)N
(2,3,4-trihydroxy-3-methylbutyl) dihydrogen phosphate	CC(CO)(C(COP(=O)(O)O)O)O
buta-1,3-diene-1,1,4-tricarboxylic acid	C(=CC(=O)O)C=C(C(=O)O)C(=O)O
2-chloroacetaldehyde	C(C=O)Cl
2-chloroethanol	C(CCl)O
2-(2-chloro-5-oxofuran-2-yl)acetic acid	C1=CC(OC1=O)(CC(=O)O)Cl
2-hydroxy-3-propan-2-ylbutanedioic acid	CC(C)C(C(C(=O)O)O)C(=O)O
4,5,6-trihydroxy-2-oxohexanoic acid	C(C(C(CO)O)O)C(=O)C(=O)O
4-hydroxy-3,3-dimethyl-2-oxobutanoic acid	CC(C)(CO)C(=O)C(=O)O
4,4-dimethyloxolane-2,3-dione	CC1(COC(=O)C1=O)C
6-(hydroxymethyl)oxane-2,4,5-triol	C1C(C(C(OC1O)CO)O)O
(2-hydroxy-5-methylsulfanyl-3-oxopent-1-enyl) dihydrogen phosphate	CSCCC(=O)C(=COP(=O)(O)O)O
2-hydroxy-6-oxonona-2,4-dienedioic acid	C(CC(=O)O)C(=O)C=CC=C(C(=O)O)O
2-hydroxypentanedioic acid	C(CC(=O)O)C(C(=O)O)O
2-hydroxypropanedioate	C(C(=O)[O-])(C(=O)[O-])O
2-hydroxypropanedioic acid	C(C(=O)O)(C(=O)O)O
4,5-dihydroxy-2-oxo-6-phosphonooxyhexanoic acid	C(C(C(COP(=O)(O)O)O)O)C(=O)C(=O)O
3-methyl-2-oxopentanoic acid	CCC(C)C(=O)C(=O)O
5-amino-2,5-dioxopentanoic acid	C(CC(=O)N)C(=O)C(=O)O
3-methyl-2-oxobutanoic acid	CC(C)C(=O)C(=O)O
3,4,5,6-tetrahydroxy-2-oxohexanoic acid	C(C(C(C(C(=O)C(=O)O)O)O)O)O
2-oxopentanedioic acid	C(CC(=O)O)C(=O)C(=O)O
S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-hydroxy-2-methylbutanethioate	CC(C(C)O)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 2-methyl-3-oxobutanethioate	CC(C(=O)C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 2-methylbutanethioate	CCC(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-(3,7,11,15,19,23,27,31-octamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)benzene-1,2-diol	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C(=CC=C1)O)O)C)C)C)C)C)C)C)C
2-(3,7,11,15,19,23,27-heptamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)-6-methoxyphenol	CC=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C(=CC=C1)OC)O)C)C)C)C)C)C)C
2-(3,7,11,15,19,23,27,31-octamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)phenol	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=CC=CC=C1O)C)C)C)C)C)C)C)C
2-oxobutanoic acid	CCC(=O)C(=O)O
3-hydroxy-2-phosphonooxypropanoic acid	C(C(C(=O)O)OP(=O)(O)O)O
[[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] (2,4-dihydroxy-3-methyl-3-phosphonooxybutyl) hydrogen phosphate	CC(CO)(C(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=CC(=NC2=O)N)O)O)O)OP(=O)(O)O
